name,ratings,prices,aminities,location,description
Egyptian Experience Sharm el-Sheikh,4.5,,",Pool,Restaurant,Airport transportation,Kitchenette","Peace Road Nabq Bay, Sharm El Sheikh 14555 Egypt",A collection of British standard rooms and villas at the start of Nabq Bay.
Sol Y Mar Sharks Bay Hotel,4.5,,",Hot bath,Outdoor pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Restaurant,Children Activities (Kid / Family Friendly),Spa,Laundry service,Air conditioning,Housekeeping,Room service",Sharm El Sheikh Egypt,I have wanted to come here for years and was excited but …… oh boy when I visited here and cried on my first night as I just couldn’t believe it.  I asked if I could change rooms on my first night and was refused.  When I arrived I went down to dinner and was appalled by what I saw.  SLOP AFTER SLOP.  After a couple of days I was going to move hotels but it would’ve cost me an extra £1000 .  I’d already paid around £1000 for this so called 4 star hotel.  They did change my room but well to be honest it was still not great.    There were no hangers for my clothes in the first room either.  I have even come home early.  I asked reception when easyjet call can they come and get me I’ll be by the pool. They’re response was UNBELIEVABLE they don’t have a phone only email!!!!!   I know this is rubbish.   I have been ripped off by people that work there left right and centre.  I WILL NEVER GO BACK.  It’s left me feeling really depressed.  One guest changed his room 4 times!!!  I work really hard for my money and don’t get paid a lot as I work in care.    I’m feeling EXTREMELY DEPRESSED.…
Black Shrimps House,5.0,,",Private pool,Mosquito net,Air conditioning,Bath / shower","Rawabi, Villa 36, Sharm El Sheikh 33611 Egypt","Finding an ideal budget friendly bed and breakfast in Sharm El Sheikh does not have to be difficult. Welcome to Black Shrimps House, a nice option for travellers like you.Close to some of Sharm El Sheikh's most popular landmarks, such as The Heavenly Cathedral (1.4 mi) and Ghibli Raceway (1.6 mi), Black Shrimps House is a great destination for tourists.The rooms offer air conditioning and a mosquito net, allowing you to rest and refresh with ease.In addition, as a valued Black Shrimps House guest, you can enjoy a private pool that is available on-site.When you’re feeling hungry, be sure to check out Sala Thai Restaurant and Spices, which are some Thai restaurants that are popular with locals and out-of-towners alike.Black Shrimps House looks forward to welcoming you on your visit to Sharm El Sheikh."
Zouara Hotel,2.0,,",Free parking,Pool,Bar / lounge,Restaurant,Breakfast buffet,Shuttle bus service,Non-smoking hotel,Private beach,Non-smoking rooms,Suites,Family rooms","Nabq Bay, Sharm El Sheikh, Beside Royal Albatros Moderna, Nabq Bay, Sharm El Sheikh Egypt","With its lagoon-style pool and private beach along the Red Sea, this hotel in Nabq Bay features spacious rooms with balconies."
Horizon Sharm Resort,1.5,,",Wifi,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Tennis court,Children Activities (Kid / Family Friendly),Concierge,Non-smoking hotel,Paid wifi,Indoor pool,Restaurant,Laundry service,Self-serve laundry,Room service,Non-smoking rooms,Family rooms","Nabq Bay, Sharm El Sheikh Egypt","Horizon Sharm Resort is an excellent choice for travellers visiting Sharm El Sheikh, offering a luxury environment alongside many helpful amenities designed to enhance your stay.Guests have access to a concierge and room service while staying at Horizon Sharm Resort. In addition, Hotel Horizon Sharm offers a pool and a lounge, which will help make your Sharm El Sheikh trip additionally gratifying.While staying at Horizon Sharm Hotel, if you are feeling hungry, you can find Bar one (0.0 mi) a short walk from the hotel.Enjoy your stay in Sharm El Sheikh!"
Guest House Sea View,,,,"ElMontazah-Sharm El Sheikh Villa 148, Sharm El Sheikh 46619 Egypt",
Sheraton Sharam Alshaikh,,,,"Namma Gulf, Sharm El Sheikh Egypt",
Andaluz Boutique,,,,,
Pigeons House,,,,"Neama Bay, Sharm El Sheikh Egypt",
Sheraton Hotel,,,,"Namma Khalij Sheraton Hotel And Villas, Sharm El Sheikh Egypt",
Oasis Villas Resort,,,",Pool,Restaurant",,"Welcome to Oasis Villas Resort. Own a piece of Paradise… Relax and enjoy your home away from home. Oasis Villas Resort is an exotic paradise, a new five star luxury villa resort development in Nabq Bay. The Oasis Villas Resort is the perfect location for relaxing and enjoying the natural beauty and surroundings overlooking the Red Sea, Tiran Island, and the Sinai Mountains. Green landscapes and state of the art design blending many charming elements that make it a perfect home to live in luxury. The Resort has a unique layout of lush gardens and lakes it is a home owners dream come true. 15 minute drive from Sharm El Shiekh, the villas are located in the heart of the Nabq Bay region."
